t`s`float	(deriv((v(txop_bump)-v(txon_bump)))/0.83873)`V/s
1.66866e-009	-493523
1.66996e-009	-575728
1.67126e-009	-520941
1.67255e-009	-548359
1.67385e-009	-520897
1.67514e-009	-520941
1.67644e-009	-548359
1.67774e-009	-520897
1.67903e-009	-520941
1.68033e-009	-520941
1.68162e-009	-493481
1.68292e-009	-520941
1.68486e-009	-507211
1.68746e-009	-520941
1.69005e-009	-507211
1.69264e-009	-520919
1.69523e-009	-479814
1.69782e-009	-507211
1.70042e-009	-493502
1.70321e-009	-485624
1.70621e-009	-485606
1.70921e-009	-485624
1.71221e-009	-461918
1.71521e-009	-485606
1.71821e-009	-461935
1.72121e-009	-461918
1.72421e-009	-450091
1.72721e-009	-461918
1.73021e-009	-438230
1.73321e-009	-461935
1.73621e-009	-438230
1.73921e-009	-438246
1.74221e-009	-438230
1.74521e-009	-438230
1.74821e-009	-414557
1.75121e-009	-438230
1.75421e-009	-414557
1.75721e-009	-414542
1.76021e-009	-414557
1.76321e-009	-414542
1.76695e-009	-414542
1.76847e-009	-397607
1.76923e-009	-397607
1.76923e-009	0
1.76923e-009	-1.04934e+007
1.76923e-009	0
1.76924e-009	-1.04934e+007
1.76924e-009	0
1.76924e-009	-1.04934e+007
1.76925e-009	0
1.76927e-009	0
1.76927e-009	649188
1.76928e-009	0
1.76931e-009	649188
1.76931e-009	-649848
1.76934e-009	649188
1.76939e-009	-649848
1.7696e-009	-324759
1.76975e-009	-523813
1.76985e-009	-710433
1.77004e-009	-355414
1.77017e-009	-546160
1.77017e-009	0
1.77023e-009	-546160
1.77023e-009	0
1.77027e-009	0
1.77027e-009	711222
1.77028e-009	0
1.7703e-009	711222
1.7703e-009	-711222
1.77033e-009	711222
1.77038e-009	-711222
1.77053e-009	-355414
1.77083e-009	-533417
1.77143e-009	-311116
1.77263e-009	-400035
1.77493e-009	-414542
1.77793e-009	-390868
1.78093e-009	-390854
1.78393e-009	-367166
1.78693e-009	-390868
1.78993e-009	-390854
1.79293e-009	-367179
1.79624e-009	-367166
1.79975e-009	-389209
1.79985e-009	-710433
1.8e-009	-355414
1.8003e-009	-266486
1.8009e-009	-444144
1.8021e-009	-355340
1.8037e-009	-355315
1.8053e-009	-377548
1.8069e-009	-355315
1.8085e-009	-377548
1.8101e-009	-355315
1.81178e-009	-355315
1.81322e-009	-370143
1.81473e-009	-320790
1.81603e-009	-383819
1.81732e-009	-356434
1.81862e-009	-356434
1.81992e-009	-356403
1.82121e-009	-329016
1.82251e-009	-356434
1.8238e-009	-356403
1.8251e-009	-329016
1.8264e-009	-356434
1.82769e-009	-301572
1.82899e-009	-356434
1.83028e-009	-329016
1.83158e-009	-356403
1.83288e-009	-356434
1.83417e-009	-356434
1.83547e-009	-274156
1.83676e-009	-356434
1.83871e-009	-356418
1.8413e-009	-315307
1.84389e-009	-315293
1.84648e-009	-329001
1.84908e-009	-315307
1.85167e-009	-329001
1.85426e-009	-329016
1.85685e-009	-319789
1.86006e-009	-319789
1.86306e-009	-296101
1.86606e-009	-319813
1.86906e-009	-296101
1.87206e-009	-296101
1.87506e-009	-319789
1.87806e-009	-307945
1.88106e-009	-272433
1.88406e-009	-296101
1.89006e-009	-296101
1.89306e-009	-284257
1.89606e-009	-296123
1.89906e-009	-272413
1.90506e-009	-272413
1.90806e-009	-284257
1.91106e-009	-272433
1.91406e-009	-272413
1.91706e-009	-272413
1.9208e-009	-260569
1.92232e-009	-280459
1.92232e-009	0
1.92308e-009	-280459
1.92308e-009	0
1.92316e-009	0
1.92316e-009	-650508
1.92318e-009	0
1.92324e-009	-650508
1.92324e-009	0
1.92329e-009	-650508
1.9234e-009	0
1.9234e-009	-524672
1.92351e-009	0
1.92358e-009	-524672
1.92358e-009	0
1.92365e-009	-524672
1.9237e-009	0
1.9237e-009	-355216
1.92375e-009	0
1.92388e-009	-355216
1.92401e-009	-271229
1.92408e-009	-271229
1.92408e-009	0
1.92415e-009	0
1.92415e-009	-706512
1.92418e-009	0
1.92423e-009	-706512
1.92423e-009	0
1.92428e-009	-706512
1.92438e-009	0
1.92438e-009	-352866
1.92448e-009	0
1.92468e-009	-352866
1.92528e-009	-308758
1.92649e-009	-242596
1.9288e-009	-248725
1.9318e-009	-272413
1.9348e-009	-248725
1.9378e-009	-260588
1.9408e-009	-248725
1.9438e-009	-248725
1.9468e-009	-236881
1.95012e-009	-248725
1.9536e-009	-242118
1.9537e-009	-711222
1.9537e-009	0
1.95375e-009	-711222
1.95385e-009	0
1.95385e-009	-266560
1.95395e-009	0
1.95415e-009	-266560
1.95475e-009	-266486
1.95595e-009	-222072
1.95755e-009	-244313
1.95915e-009	-244279
1.96075e-009	-266486
1.96235e-009	-244279
1.96395e-009	-222103
1.96563e-009	-244279
1.96707e-009	-222086
1.96858e-009	-197379
1.96987e-009	-246783
1.97117e-009	-246741
1.97247e-009	-246741
1.97376e-009	-246783
1.97506e-009	-191909
1.97635e-009	-246741
1.97765e-009	-246783
1.97895e-009	-246741
1.98024e-009	-164494
1.98154e-009	-246783
1.98283e-009	-246741
1.98413e-009	-191909
1.98543e-009	-246783
1.98672e-009	-191909
1.98802e-009	-246741
1.98931e-009	-246783
1.99061e-009	-191909
1.99255e-009	-205635
1.99515e-009	-219325
1.99774e-009	-219344
1.99952e-009	-257452
2e-009	-257452
