t`s`float	(deriv((v(txop_bump)-v(txon_bump)))/0.83873)`V/s
6.46458e-010	3.88272e+008
6.49458e-010	3.02218e+008
6.52458e-010	2.40095e+008
6.55458e-010	1.94708e+008
6.58458e-010	1.59684e+008
6.61458e-010	1.31066e+008
6.64458e-010	1.07925e+008
6.67458e-010	8.8761e+007
6.70458e-010	7.25935e+007
6.73458e-010	5.89726e+007
6.76458e-010	4.76249e+007
6.79458e-010	3.80201e+007
6.82458e-010	2.98831e+007
6.85458e-010	2.30608e+007
6.88782e-010	1.71742e+007
6.91133e-010	1.27303e+007
6.92308e-010	1.27303e+007
6.92309e-010	-1.03242e+007
6.92309e-010	1.53624e+007
6.92315e-010	1.53624e+007
6.92325e-010	1.54241e+007
6.92346e-010	8.97936e+006
6.92387e-010	1.15449e+007
6.9247e-010	1.02673e+007
6.92679e-010	1.02647e+007
6.92835e-010	1.00946e+007
6.92935e-010	1.0307e+007
6.93123e-010	9.77116e+006
6.93307e-010	9.52358e+006
6.93308e-010	0
6.93309e-010	0
6.93311e-010	-1.20774e+007
6.93311e-010	1.8116e+007
6.93312e-010	-1.20774e+007
6.93315e-010	1.8116e+007
6.93324e-010	6.01033e+006
6.93342e-010	1.05181e+007
6.93377e-010	9.01549e+006
6.93448e-010	9.77252e+006
6.9359e-010	8.83026e+006
6.93874e-010	8.5497e+006
6.94441e-010	7.56264e+006
6.95575e-010	5.77788e+006
6.97832e-010	2.81888e+006
7.00832e-010	225041
7.03832e-010	-2.03721e+006
7.06982e-010	-3.94414e+006
7.09817e-010	-5.44833e+006
7.12247e-010	-6.66786e+006
7.14677e-010	-7.69143e+006
7.17107e-010	-8.62727e+006
7.19713e-010	-9.43151e+006
7.2278e-010	-1.00029e+007
7.2288e-010	-1.0307e+007
7.2303e-010	-1.01265e+007
7.2333e-010	-1.02153e+007
7.2393e-010	-1.04825e+007
7.2473e-010	-1.06594e+007
7.2553e-010	-1.09267e+007
7.2673e-010	-1.10818e+007
7.2833e-010	-1.14371e+007
7.2993e-010	-1.17258e+007
7.3153e-010	-1.20589e+007
7.3321e-010	-1.23032e+007
7.3465e-010	-1.25103e+007
7.36162e-010	-1.27571e+007
7.37458e-010	-1.28311e+007
7.38754e-010	-1.3051e+007
7.4005e-010	-1.31326e+007
7.41346e-010	-1.32697e+007
7.42642e-010	-1.338e+007
7.43938e-010	-1.34616e+007
7.45234e-010	-1.35713e+007
7.4653e-010	-1.35719e+007
7.47826e-010	-1.37358e+007
7.49122e-010	-1.36816e+007
7.50418e-010	-1.37906e+007
7.51714e-010	-1.37632e+007
7.5301e-010	-1.39009e+007
7.54306e-010	-1.38181e+007
7.55602e-010	-1.39003e+007
7.56898e-010	-1.38735e+007
7.58194e-010	-1.38729e+007
7.5949e-010	-1.39003e+007
7.60786e-010	-1.39009e+007
7.62243e-010	-1.38729e+007
7.63217e-010	-1.38319e+007
7.6419e-010	-1.38319e+007
7.65164e-010	-1.38684e+007
7.66138e-010	-1.37962e+007
7.67598e-010	-1.37772e+007
7.69545e-010	-1.37407e+007
7.71492e-010	-1.36863e+007
7.7344e-010	-1.36494e+007
7.75913e-010	-1.35498e+007
7.78913e-010	-1.34432e+007
7.81913e-010	-1.33482e+007
7.84913e-010	-1.323e+007
7.87913e-010	-1.30879e+007
7.90913e-010	-1.2851e+007
7.93913e-010	-1.25312e+007
7.96913e-010	-1.22112e+007
7.99913e-010	-1.19509e+007
8.02913e-010	-1.17614e+007
8.05913e-010	-1.16192e+007
8.08913e-010	-1.14534e+007
8.11913e-010	-1.13466e+007
8.14913e-010	-1.11928e+007
8.17913e-010	-1.10744e+007
8.20913e-010	-1.09323e+007
8.23913e-010	-1.08375e+007
8.26913e-010	-1.06833e+007
8.29913e-010	-1.05888e+007
8.32913e-010	-1.04348e+007
8.35913e-010	-1.03519e+007
8.38913e-010	-1.01861e+007
8.42043e-010	-1.01032e+007
8.46152e-010	-9.95699e+006
8.46156e-010	-2.06484e+007
8.46161e-010	-1.03242e+007
8.46171e-010	-7.71205e+006
8.46185e-010	-1.02827e+007
8.46233e-010	-1.02827e+007
8.46316e-010	-9.96139e+006
8.46524e-010	-9.80072e+006
8.4668e-010	-1.01109e+007
8.4678e-010	-9.24075e+006
8.46968e-010	-1.03041e+007
8.47153e-010	-9.16064e+006
8.47155e-010	-4.74148e+007
8.47155e-010	0
8.47155e-010	-4.74148e+007
8.47157e-010	0
8.47157e-010	-1.18537e+007
8.47158e-010	0
8.47161e-010	-1.18537e+007
8.4717e-010	-5.98224e+006
8.47188e-010	-1.33974e+007
8.47224e-010	-8.95244e+006
8.47295e-010	-9.68719e+006
8.47438e-010	-1.00656e+007
8.47724e-010	-9.8778e+006
8.48296e-010	-9.78532e+006
8.4944e-010	-9.73837e+006
8.51703e-010	-9.64123e+006
8.54703e-010	-9.53464e+006
8.57703e-010	-9.40435e+006
8.60853e-010	-9.27389e+006
8.63688e-010	-9.21215e+006
8.66118e-010	-9.08057e+006
8.68548e-010	-9.02208e+006
8.70978e-010	-8.89048e+006
8.7359e-010	-8.83199e+006
8.76639e-010	-8.73598e+006
8.76739e-010	-8.52519e+006
8.76889e-010	-8.88287e+006
8.77189e-010	-8.70642e+006
8.77789e-010	-8.70522e+006
8.78589e-010	-8.6614e+006
8.79389e-010	-8.6608e+006
8.80189e-010	-8.59448e+006
8.82189e-010	-8.55006e+006
8.83789e-010	-8.50565e+006
8.85389e-010	-8.39461e+006
8.87069e-010	-8.41681e+006
8.88509e-010	-8.29087e+006
8.90021e-010	-8.29087e+006
8.91317e-010	-8.25281e+006
8.92613e-010	-8.1702e+006
8.93909e-010	-8.14279e+006
8.95205e-010	-8.0883e+006
8.96501e-010	-8.08795e+006
8.97797e-010	-7.97829e+006
8.99093e-010	-7.97863e+006
9.00389e-010	-7.92345e+006
9.01685e-010	-7.92345e+006
9.02981e-010	-7.7867e+006
9.04277e-010	-7.81379e+006
9.05573e-010	-7.75895e+006
9.06869e-010	-7.70445e+006
9.08165e-010	-7.64928e+006
9.09461e-010	-7.64928e+006
9.10757e-010	-7.59478e+006
9.12053e-010	-7.53962e+006
9.13349e-010	-7.5122e+006
9.15293e-010	-7.45753e+006
9.17885e-010	-7.34786e+006
9.20477e-010	-7.27931e+006
9.23069e-010	-7.23803e+006
9.25661e-010	-7.11481e+006
9.28253e-010	-7.04627e+006
9.30845e-010	-6.97772e+006
9.33437e-010	-6.90903e+006
9.36029e-010	-6.84049e+006
9.38825e-010	-6.75136e+006
